id,wkt
gh285,SRID=4326;POINT(-0.2240925 11.1091506)
gh286,SRID=4326;POINT(-0.2199258 11.1091506)
gh287,SRID=4326;POINT(-0.2115925 11.1091506)
gh288,SRID=4326;POINT(-0.2074258 11.1091506)
gh289,SRID=4326;POINT(-0.1990925 11.1091506)
gh290,SRID=4326;POINT(-0.1949258 11.1091506)
gh291,SRID=4326;POINT(-0.1907591 11.1091506)
gh292,SRID=4326;POINT(-0.1865925 11.1091506)
gh293,SRID=4326;POINT(-0.1824258 11.1091506)
gh294,SRID=4326;POINT(-0.1782591 11.1091506)
gh295,SRID=4326;POINT(-0.1740925 11.1091506)
gh296,SRID=4326;POINT(-0.1699258 11.1091506)
gh297,SRID=4326;POINT(-0.1657591 11.1091506)
gh298,SRID=4326;POINT(-0.1615925 11.1091506)
gh299,SRID=4326;POINT(-0.1574258 11.1091506)
gh300,SRID=4326;POINT(-0.1532591 11.1091506)
gh301,SRID=4326;POINT(-0.1490925 11.1091506)
gh302,SRID=4326;POINT(-0.3907591 11.1049839)
gh303,SRID=4326;POINT(-0.3865925 11.1049839)
gh304,SRID=4326;POINT(-0.3824258 11.1049839)
gh305,SRID=4326;POINT(-0.3282591 11.1049839)
gh306,SRID=4326;POINT(-0.3240925 11.1049839)
gh307,SRID=4326;POINT(-0.3199258 11.1049839)
gh308,SRID=4326;POINT(-0.3074258 11.1049839)
gh309,SRID=4326;POINT(-0.3032591 11.1049839)
gh310,SRID=4326;POINT(-0.2907591 11.1049839)
gh311,SRID=4326;POINT(-0.2782591 11.1049839)
gh312,SRID=4326;POINT(-0.2740925 11.1049839)
gh313,SRID=4326;POINT(-0.2699258 11.1049839)
gh314,SRID=4326;POINT(-0.2657591 11.1049839)
gh315,SRID=4326;POINT(-0.2615925 11.1049839)
gh316,SRID=4326;POINT(-0.2574258 11.1049839)
gh317,SRID=4326;POINT(-0.2532591 11.1049839)
gh318,SRID=4326;POINT(-0.2490925 11.1049839)
gh319,SRID=4326;POINT(-0.2449258 11.1049839)
gh320,SRID=4326;POINT(-0.2407591 11.1049839)
gh321,SRID=4326;POINT(-0.2365925 11.1049839)
gh322,SRID=4326;POINT(-0.2324258 11.1049839)
gh323,SRID=4326;POINT(-0.2282591 11.1049839)
gh324,SRID=4326;POINT(-0.2240925 11.1049839)
gh325,SRID=4326;POINT(-0.2199258 11.1049839)
gh326,SRID=4326;POINT(-0.2115925 11.1049839)
gh327,SRID=4326;POINT(-0.2032591 11.1049839)
gh328,SRID=4326;POINT(-0.1865925 11.1049839)
